"Record ID","Title","Subject","Institution","Journal","Publisher","Country","RetractionDate","RetractionDOI","RetractionPubMedID","OriginalPaperDate","OriginalPaperDOI","OriginalPaperPubMedID","Reason","Notes","Year"
63766,"Optimizing closed-loop supply chain design with multi-objective demand fulfillment in a fuzzy environment using novel metaheuristic algorithm","(B/T) Business - General;(B/T) Computer Science;(B/T) Technology;","College of Air Traffic Management, Civil Aviation Flight University of China, GuangHan, China; China Eastern Technology Application Research and Development Center Co., Ltd, Shanghai, China;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","China",2024-08-23,"10.3233/JIFS-219433",0,"1/9/2024 0:00","10.3233/jifs-236612",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;","ACM information page for the original article: https://dl.acm.org/doi/abs/10.3233/JIFS-236612","2024"
63754,"Optimal secure fuzzy based multi keyword search over ciphered e-mail in cloud","(B/T) Computer Science;(B/T) Technology;","Department of Computer Science and Engineering, RMK College of Engineering and Technology, Thiruvallur, India; Department of Computational Intelligence, School of Computing, SRM Institute of Science and Technology, Kattankulathur, India;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","India",2024-08-23,"10.3233/JIFS-219433",0,"7/30/2022 0:00","10.3233/jifs-213521",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;",NA,"2024"
63751,"Online tuning of generalized predictive controllers using fuzzy logic","(PHY) Engineering - Electrical;","Grupo de Automação Industrial (GAIn), Coordenadoria de Engenharia de Controle e Automação, Instituto Federal de Educação, Ciência e Tecnologia doEspírito Santo–Campus Serra, Rodovia ES-010, KM 6.5, 29173-087, Manguinhos, Serra, ES, Brasil; Departmento de Engenharia Elétrica, UFES - Universidade Federal do Espírito Santo, Av. Fernando Ferrari, 214, Goiabeiras, Vitória-ES, 29075-910, Brasil;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","Brazil",2024-08-23,"10.3233/JIFS-219433",0,"6/2/2022 0:00","10.3233/jifs-212322",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;",NA,"2024"
63735,"New algorithm for two-machine fuzzy flow shop scheduling problem with trapezoidal fuzzy processing time","(B/T) Computer Science;(PHY) Mathematics;","Department of Mathematics, School of Advanced Sciences, Vellore Institute of Technology, Vellore, Tamil Nadu, India;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","India",2024-08-23,"10.3233/JIFS-219433",0,"4/9/2024 0:00","10.3233/jifs-235526",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;",NA,"2024"
63732,"Multiview Type-2 kernelized fuzzy C-means clustering with local information for noisy color image segmentation","(B/T) Computer Science;(B/T) Technology;(PHY) Engineering - General;","School of Automation, Xi’an University of Posts and Telecommunications, Xi’an, PR China; School of Electronic Engineering, Xi’an University of Posts and Telecommunications, Xi’an, PR China;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","China",2024-08-23,"10.3233/JIFS-219433",0,"3/30/2024 0:00","10.3233/jifs-235967",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;",NA,"2024"
63720,"Multi-attribute decision making method based on the generalised spherical fuzzy Heronian operators","(B/T) Business - General;(PHY) Mathematics;","College of Business and Tourism, Sichuan Agricultural University, China; College of Mathematics and Statistics, Liupanshui Normal University, China;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","China",2024-08-23,"10.3233/JIFS-219433",0,"5/3/2024 0:00","10.3233/jifs-241113",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;",NA,"2024"
63696,"Modified MARCOS method for industrial competitiveness evaluation of regional cultural tourism with probabilistic hesitant fuzzy information","(B/T) Business - General;(B/T) Business - Management;(B/T) Data Science;","History, Culture and Law Department, Tangshan Normal University, Tangshan, Hebei, China; Resource Management Department, Tangshan Normal University, Tangshan, Hebei, China; Computer Science Department, Tangshan Normal University, Tangshan, Hebei, China;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","China",2024-08-23,"10.3233/JIFS-219433",0,"4/17/2023 0:00","10.3233/jifs-224491",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;","ACM information page for the original article: https://dl.acm.org/doi/10.3233/JIFS-224491","2024"
63686,"Medical image fusion using fuzzy adaptive reduced pulse coupled neural networks","(B/T) Data Science;(HSC) Radiology/Imaging;","Department of ECE, Jawaharlal Nehru Technological University Anantapur, Ananthapuramu, Andhra Pradesh, India; Department of ECE, Rajeev Gandhi Memorial College of Engineering and Technology, Nandyal, Andhra Pradesh, India;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","India",2024-08-23,"10.3233/JIFS-219433",0,"2/25/2022 0:00","10.3233/jifs-213416",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;","ACM information page for the original article: https://dl.acm.org/doi/10.3233/JIFS-213416","2024"
63665,"Digital acquisition and character extraction from stone inscription images using modified fuzzy entropy-based adaptive thresholding","(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(BLS) Archeology;(HUM) Arts -Literature/Poetry;(PHY) Engineering - Electrical;","Department of Computer Science and Engineering, College of Engineering, Anna University, Tamil Nadu, Chennai, India;","Soft Computing","Springer - Nature Publishing Group","India",2024-10-16,"10.1007/s00500-024-10175-6",0,"11/8/2018 0:00","10.1007/s00500-018-3610-2",0,"Author Unresponsive;Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Compromised Peer Review;Rogue Editor;Unreliable Results and/or Conclusions;",NA,"2024"
63656,"Identification and prioritization of DevOps success factors using fuzzy-AHP approach","(B/T) Business - General;(B/T) Business - Management;(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(PHY) Statistics;","College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Information and Computer Science Department, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; School of Computer Science and Technology, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China; Research Chair of Artificial Intelligence (RCAI), Department of Information Systems, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Information Systems Department, College of Computer and Information Sciences, Imam Muhammad Ibn-Saud Islamic University, Riyadh, Saudi Arabia;","Soft Computing","Springer - Nature Publishing Group","China;Saudi Arabia",2024-10-14,"10.1007/s00500-024-10166-7",0,"7/6/2020 0:00","10.1007/s00500-020-05150-w",0,"Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Compromised Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Rogue Editor;",NA,"2024"
